2024-08-04 11:17:02,525:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:03,650:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:06,266:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:07,391:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:09,511:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:13,651:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:14,771:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:17,681:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:18,814:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:53,644:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:54,770:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:17:56,885:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:01,026:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:02,235:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:04,355:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:08,539:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:09,721:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:12,131:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:13,265:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:15,424:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:19,565:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:44,816:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:46,032:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:48,560:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:49,716:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:51,875:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:56,054:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:57,187:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:18:59,345:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:03,485:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:04,606:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:06,725:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:10,863:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:12,035:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:44,630:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:45,785:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:47,978:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:52,850:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:53,975:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:19:56,084:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:00,225:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:01,362:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:03,518:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:33,756:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:34,883:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:37,002:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:41,584:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:42,708:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:44,967:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:49,099:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:20:50,631:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:07,650:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:10,797:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:11,915:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:14,661:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:15,793:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:21:17,945:ERROR:Error fetching poster (attempt 3/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:23,513:ERROR:Error fetching poster (attempt 1/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2024-08-04 11:22:24,681:ERROR:Error fetching poster (attempt 2/3): ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
